Comment,Designator,Footprint,LCSC,Quantity
100nF,"C1,C13,C16,C3,C4,C5,C8",C_0402,C307331,7
100uF 50V,C2,CP_Elec_8x10.5,C2749,1
100Ω,"R21,R3,R4,R6",R_0402,C25076,4
10kΩ,"R11,R19,R20,R24,R25,R28,R30,R7",R_0402,C25744,8
10uF,C19,C_0603,C19702,1
10Ω,R27,R_0402,C25077,1
1uF,C17,C_0402,C52923,1
20kΩ,"R2,R5,R8",R_0402,C25765,3
22nF,C6,C_0402,C1532,1
30pF,C23,C_0402,C1570,1
4.7kΩ,"R16,R23,R26,R29,R31",R_0402,C25900,5
4.7uF,"C11,C12,C7",C_1206,C29823,3
AMS1117-3.3,U3,SOT-223-3_TabPin2,C6186,1
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C160449,1
DSK26,"D1,D4",D_SOD-123FL,C7502712,2
STM32G431KBU3,U2,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,C1341901,1
TMC2209-LA,U1,VQFN-28-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias,C2150710,1
BOOT,J2,PinHeader_1x03_P2.54mm_Vertical,,1
BAV99,D3,SOT-23,,1
USB_C_Plug,P1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,1
10uF,C15,C_0603_1608Metric,,1
120r 100MHz,FB1,C_0603_1608Metric,,1
10uF,C18,C_0603_1608Metric,,1
1uF,C20,C_0201_0603Metric,,1
ADXL345,J9,PinHeader_1x04_P2.54mm_Vertical,,1
Motor_E,J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,1
SW_SPST,SW1,PinHeader_1x02_P2.54mm_Vertical,,1
100mO,R9,R_1206_3216Metric,,1
PCF,J7,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,1
Conn_01x08_Pin,J14,Amphenol_F32Q-1A7x1-11008_1x08-1MP_P0.5mm_Horizontal,,1
1uF,C21,C_0201_0603Metric,,1
1ko,R1,R_0402_1005Metric,,1
NMOS,Q1,PPAK-8L-NumberingFixed,,1
100mO,R100,R_1206_3216Metric,,1
10uF,C14,C_0603_1608Metric,,1
100nF,C22,C_0402_1005Metric,,1
30pF,C24,C_0402_1005Metric,,1
HE,J13,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1
THO,J12,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1
~,PN1,Part_Num_JLCPCB,,1
BL_PROBE,J10,PinHeader_1x05_P2.54mm_Vertical,,1
