Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402,146.9,-71.35,0.0,top
C11,4.7uF,C_1206,147.72,-79.1,0.0,top
C12,4.7uF,C_1206,147.72,-82.45,0.0,top
C13,100nF,C_0402,156.4,-86.0,0.0,top
C14,10uF,C_0603_1608Metric,145.885,-66.81,0.0,top
C15,10uF,C_0603_1608Metric,145.885,-69.32,0.0,top
C16,100nF,C_0402,137.97,-87.11,0.0,top
C16,100nF,C_0402,201.9,-88.9,-90.0,top
C17,1uF,C_0402,137.97,-89.08,0.0,top
C17,1uF,C_0402,207.5,-78.4,90.0,top
C18,10uF,C_0603_1608Metric,208.9,-81.0,0.0,top
C18,10uF,C_0603_1608Metric,145.525,-88.4,0.0,top
C19,10uF,C_0603,137.97,-91.05,0.0,top
C19,10uF,C_0603,200.8,-89.4,-90.0,top
C2,100uF 50V,CP_Elec_8x10.5,190.6,-77.4,180.0,top
C20,1uF,C_0201_0603Metric,208.9,-81.9,0.0,top
C20,1uF,C_0201_0603Metric,150.845,-87.1,0.0,top
C21,1uF,C_0201_0603Metric,150.49,-70.91,0.0,top
C22,100nF,C_0402_1005Metric,202.3,-93.1,-90.0,top
C22,100nF,C_0402_1005Metric,141.6,-72.82,0.0,top
C23,30pF,C_0402,138.5,-75.84,0.0,top
C23,30pF,C_0402,206.9,-93.3,90.0,top
C24,30pF,C_0402_1005Metric,142.085,-88.31,0.0,top
C3,100nF,C_0402,172.5,-82.2,180.0,top
C4,100nF,C_0402,182.7,-82.4,0.0,top
C5,100nF,C_0402,172.6,-86.9,180.0,top
C6,22nF,C_0402,172.1,-85.5,90.0,top
C7,4.7uF,C_1206,174.9,-90.3,0.0,top
C8,100nF,C_0402,205.4,-78.4,90.0,top
D1,DSK26,D_SOD-123FL,142.17,-79.1,0.0,top
D3,BAV99,SOT-23,154.5375,-82.05,0.0,top
D4,DSK26,D_SOD-123FL,142.17,-82.45,0.0,top
FB1,120r 100MHz,C_0603_1608Metric,208.7,-78.925,90.0,top
H1,m1.5,MountingHole_M1.5,214.7,-62.3,0.0,top
H2,m1.5,MountingHole_M1.5,178.0,-100.0,0.0,top
H3,m1.5,MountingHole_M1.5,175.0,-62.2,0.0,top
J1,Motor_E,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,177.65,-75.1,180.0,top
J10,BL_PROBE,PinHeader_1x05_P2.54mm_Vertical,192.6,-98.1,90.0,top
J14,Conn_01x08_Pin,Amphenol_F32Q-1A7x1-11008_1x08-1MP_P0.5mm_Horizontal,181.9,-68.925,180.0,top
J2,BOOT,PinHeader_1x03_P2.54mm_Vertical,197.4,-91.36,180.0,top
P1,USB_C_Plug,USB_C_Receptacle_HRO_TYPE-C-31-M-12,193.8,-66.0,180.0,top
PN1,~,Part_Num_JLCPCB,165.0,-64.3,0.0,top
Q1,NMOS,PPAK-8L-NumberingFixed,202.3,-65.22,-90.0,top
R1,1ko,R_0402_1005Metric,154.375,-93.8,0.0,top
R100,100mO,R_1206_3216Metric,173.4,-79.6,180.0,top
R11,10kΩ,R_0402,149.565,-92.92,0.0,top
R11,10kΩ,R_0402,203.7,-88.8,90.0,top
R16,4.7kΩ,R_0402,146.9,-73.2,0.0,top
R19,10kΩ,R_0402,152.91,-67.21,0.0,top
R2,20kΩ,R_0402,179.5,-90.1,90.0,top
R20,10kΩ,R_0402,152.91,-69.06,0.0,top
R21,100Ω,R_0402,177.7,-90.1,90.0,top
R23,4.7kΩ,R_0402,152.91,-70.91,0.0,top
R24,10kΩ,R_0402,152.91,-72.76,0.0,top
R25,10kΩ,R_0402,152.91,-74.61,0.0,top
R26,4.7kΩ,R_0402,140.61,-64.86,0.0,top
R27,10Ω,R_0402,146.9,-75.05,0.0,top
R28,10kΩ,R_0402,140.61,-66.71,0.0,top
R29,4.7kΩ,R_0402,140.61,-68.56,0.0,top
R3,100Ω,R_0402,172.6,-84.1,0.0,top
R30,10kΩ,R_0402,146.9,-76.9,0.0,top
R31,4.7kΩ,R_0402,152.91,-76.46,0.0,top
R4,100Ω,R_0402,182.7,-85.9,0.0,top
R5,20kΩ,R_0402,172.6,-83.2,180.0,top
R6,100Ω,R_0402,182.7,-84.4,180.0,top
R7,10kΩ,R_0402,198.0,-84.7,180.0,top
R8,20kΩ,R_0402,178.6,-90.1,90.0,top
R9,100mO,R_1206_3216Metric,181.4375,-79.6,0.0,top
U1,TMC2209-LA,VQFN-28-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias,177.6,-84.9,0.0,top
U2,STM32G431KBU3,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,203.65,-83.35,90.0,top
U3,AMS1117-3.3,SOT-223-3_TabPin2,189.9,-86.65,-90.0,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,204.6,-92.5,90.0,top
